log_id,template,variables,original
72,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:00:29.973', 'P0000009826', 'T0000000000000011', 'used_space[75939328],', 'f']","2025-04-30 00:00:29.973 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[75939328], free_space[21398888960]..."
73,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush total <*> pages done, pseg_first_open:0, hpc_status:1, src_site:1, <*> <*> max_gen_lsn:0 code:0","['2025-04-30 00:00:30.657', 'P0000009826', 'T0000000000000011052', '1195', 'ckpt_lsn:2740248767709,', 'min_fst_mdf_lsn:2740248768541,']","2025-04-30 00:00:30.657 [INFO] database P0000009826 T0000000000000011052  hpc_process_ckpt_far_ep_flush flush total 1195 pages done, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740248767709, min_fst_mdf_lsn:2740248768541, max_gen_lsn:0 code:0"
74,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:31.340', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:00:31.340 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
75,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:31.340', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:00:31.340 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
76,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:00:31.393', 'P0000009826', 'T0000000000000011334', '160,', '0']","2025-04-30 00:00:31.393 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 0"
77,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740248876187), ckpt_fil(1), ckpt_off(6561672704), cur_lsn(2740249400278), l_next_seq(35891235661), g_next_seq(35789913326), cur_free(6572144128), total_space(21474828288), used_space(10471424), free_space(21464356864), n_ep(2)","['2025-04-30 00:00:31.393', 'P0000009826', 'T0000000000000011']","2025-04-30 00:00:31.393 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740248876187), ckpt_fil(1), ckpt_off(6561672704), cur_lsn(2740249400278), l_next_seq(35891235661), g_next_seq(35789913326), cur_free(6572144128), total_space(21474828288), used_space(10471424), free_space(21464356864), n_ep(2)"
78,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:00:31.393', 'P0000009826', 'T0000000000000011', '13497', 'used_space[10471424],', 'f']","2025-04-30 00:00:31.393 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 13497 pages flushed, used_space[10471424], free_space[21464356864]."
79,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:00:32.975', 'P0000009826', 'T0000000000000011435', 'CKPT_DIRTY_PAGES,', 'space[21432562176],', 's']","2025-04-30 00:00:32.975 [INFO] database P0000009826 T0000000000000011435  checkpoint requested by CKPT_DIRTY_PAGES, rlog free space[21432562176], used space[42266112]"
80,<DATE> [INFO] database <P_ID> <*> checkpoint generate by <*> > <*>,"['2025-04-30 00:00:32.975', 'P0000009826', 'T0000000000000011435', 'dirty_pages[16986]', 'c']",2025-04-30 00:00:32.975 [INFO] database P0000009826 T0000000000000011435  checkpoint generate by dirty_pages[16986] > ckpt_dirty_pages[10000]
81,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:00:32.975', 'P0000009826', 'T0000000000000011', 'used_space[42266112],', 'f']","2025-04-30 00:00:32.975 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[42266112], free_space[21432562176]..."
82,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:00:34.151', 'P0000009826', 'T0000000000000035998', 'e']",2025-04-30 00:00:34.151 [WARNING] database P0000009826 T0000000000000035998  socket_err_should_retry errno:38
83,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:34.583', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:00:34.583 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
84,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:34.583', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:00:34.583 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
85,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, <*>","['2025-04-30 00:00:34.752', 'P0000009826', 'T0000000000000011001', 'c']","2025-04-30 00:00:34.752 [INFO] database P0000009826 T0000000000000011001  hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740249875417"
86,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:00:34.867', 'P0000009826', 'T0000000000000011334', '160,', '0']","2025-04-30 00:00:34.867 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 0"
87,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740249713866), ckpt_fil(1), ckpt_off(6585713664), cur_lsn(2740250047354), l_next_seq(35891236443), g_next_seq(35789914108), cur_free(6625079296), total_space(21474828288), used_space(39365632), free_space(21435462656), n_ep(2)","['2025-04-30 00:00:34.867', 'P0000009826', 'T0000000000000011']","2025-04-30 00:00:34.867 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740249713866), ckpt_fil(1), ckpt_off(6585713664), cur_lsn(2740250047354), l_next_seq(35891236443), g_next_seq(35789914108), cur_free(6625079296), total_space(21474828288), used_space(39365632), free_space(21435462656), n_ep(2)"
88,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:00:34.868', 'P0000009826', 'T0000000000000011', '14147', 'used_space[39365632],', 'f']","2025-04-30 00:00:34.868 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 14147 pages flushed, used_space[39365632], free_space[21435462656]."
89,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush total <*> pages done, pseg_first_open:0, hpc_status:1, src_site:1, <*> <*> max_gen_lsn:0 code:0","['2025-04-30 00:00:35.312', 'P0000009826', 'T0000000000000011001', '4282', 'ckpt_lsn:2740249875417,', 'min_fst_mdf_lsn:2740249877180,']","2025-04-30 00:00:35.312 [INFO] database P0000009826 T0000000000000011001  hpc_process_ckpt_far_ep_flush flush total 4282 pages done, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740249875417, min_fst_mdf_lsn:2740249877180, max_gen_lsn:0 code:0"
90,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, <*>","['2025-04-30 00:00:39.099', 'P0000009826', 'T0000000000000010998', 'c']","2025-04-30 00:00:39.099 [INFO] database P0000009826 T0000000000000010998  hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740250705807"
91,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush total <*> pages done, pseg_first_open:0, hpc_status:1, src_site:1, <*> <*> max_gen_lsn:0 code:0","['2025-04-30 00:00:39.985', 'P0000009826', 'T0000000000000010998', '8764', 'ckpt_lsn:2740250705807,', 'min_fst_mdf_lsn:2740250705950,']","2025-04-30 00:00:39.985 [INFO] database P0000009826 T0000000000000010998  hpc_process_ckpt_far_ep_flush flush total 8764 pages done, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740250705807, min_fst_mdf_lsn:2740250705950, max_gen_lsn:0 code:0"
92,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, <*>","['2025-04-30 00:00:43.722', 'P0000009826', 'T0000000000000010994', 'c']","2025-04-30 00:00:43.722 [INFO] database P0000009826 T0000000000000010994  hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740251545259"
93,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush total <*> pages done, pseg_first_open:0, hpc_status:1, src_site:1, <*> <*> max_gen_lsn:0 code:0","['2025-04-30 00:00:44.029', 'P0000009826', 'T0000000000000010994', '1072', 'ckpt_lsn:2740251545259,', 'min_fst_mdf_lsn:2740251564148,']","2025-04-30 00:00:44.029 [INFO] database P0000009826 T0000000000000010994  hpc_process_ckpt_far_ep_flush flush total 1072 pages done, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740251545259, min_fst_mdf_lsn:2740251564148, max_gen_lsn:0 code:0"
94,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:00:49.759', 'P0000009826', 'T0000000000000036609', 'e']",2025-04-30 00:00:49.759 [WARNING] database P0000009826 T0000000000000036609  socket_err_should_retry errno:38
95,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:00:54.103', 'P0000009826', 'T0000000000000011335', 'RLOG_FLUSH_THREAD,', 'space[21340455936],', 's']","2025-04-30 00:00:54.103 [INFO] database P0000009826 T0000000000000011335  checkpoint requested by RLOG_FLUSH_THREAD, rlog free space[21340455936], used space[134372352]"
96,"<DATE> [INFO] database <P_ID> <T_ID>335 checkpoint generated by rlog flush thread, full_status: <STATUS>, ptx_reserved: <RESERVED>",[],"2025-04-30 00:00:54.103 [INFO] database P0000009826 T0000000000000011335  checkpoint generated by rlog flush thread, full_status:161, ptx_reserved:2"
97,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:00:54.103', 'P0000009826', 'T0000000000000011', 'used_space[134372352],', 'f']","2025-04-30 00:00:54.103 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[134372352], free_space[21340455936]..."
98,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:54.366', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:00:54.366 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
99,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:54.367', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:00:54.367 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
100,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:00:54.621', 'P0000009826', 'T0000000000000011334', '160,', '1']","2025-04-30 00:00:54.621 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 16"
101,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740252209654), ckpt_fil(1), ckpt_off(6699720704), cur_lsn(2740252363080), l_next_seq(35891238181), g_next_seq(35789915846), cur_free(6720140800), total_space(21474828288), used_space(20420096), free_space(21454408192), n_ep(2)","['2025-04-30 00:00:54.621', 'P0000009826', 'T0000000000000011']","2025-04-30 00:00:54.621 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740252209654), ckpt_fil(1), ckpt_off(6699720704), cur_lsn(2740252363080), l_next_seq(35891238181), g_next_seq(35789915846), cur_free(6720140800), total_space(21474828288), used_space(20420096), free_space(21454408192), n_ep(2)"
102,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:00:54.622', 'P0000009826', 'T0000000000000011', '1977', 'used_space[20448256],', 'f']","2025-04-30 00:00:54.622 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 1977 pages flushed, used_space[20448256], free_space[21454380032]."
103,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:00:54.622', 'P0000009826', 'T0000000000000011334', 'CKPT2_FLUSH_THREAD,', 'space[21454380032],', 's']","2025-04-30 00:00:54.622 [INFO] database P0000009826 T0000000000000011334  checkpoint requested by CKPT2_FLUSH_THREAD, rlog free space[21454380032], used space[20448256]"
104,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:00:54.622', 'P0000009826', 'T0000000000000011', 'used_space[20448256],', 'f']","2025-04-30 00:00:54.622 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[20448256], free_space[21454380032]..."
105,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:54.642', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:00:54.642 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
106,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:54.642', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:00:54.642 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
107,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:00:54.747', 'P0000009826', 'T0000000000000011334', '160,', '0']","2025-04-30 00:00:54.747 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 0"
108,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740252362881), ckpt_fil(1), ckpt_off(6720100864), cur_lsn(2740252367384), l_next_seq(35891238194), g_next_seq(35789915859), cur_free(6721235968), total_space(21474828288), used_space(1135104), free_space(21473693184), n_ep(2)","['2025-04-30 00:00:54.747', 'P0000009826', 'T0000000000000011']","2025-04-30 00:00:54.747 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740252362881), ckpt_fil(1), ckpt_off(6720100864), cur_lsn(2740252367384), l_next_seq(35891238194), g_next_seq(35789915859), cur_free(6721235968), total_space(21474828288), used_space(1135104), free_space(21473693184), n_ep(2)"
109,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:00:54.747', 'P0000009826', 'T0000000000000011', '689', 'used_space[1135104],', 'f']","2025-04-30 00:00:54.747 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 689 pages flushed, used_space[1135104], free_space[21473693184]."
110,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:01:03.316', 'P0000009826', 'T0000000000000037188', 'e']",2025-04-30 00:01:03.316 [WARNING] database P0000009826 T0000000000000037188  socket_err_should_retry errno:38
111,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, <*>","['2025-04-30 00:01:06.996', 'P0000009826', 'T0000000000000011029', 'c']","2025-04-30 00:01:06.996 [INFO] database P0000009826 T0000000000000011029  hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740252536297"
112,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush total <*> pages done, pseg_first_open:0, hpc_status:1, src_site:1, <*> <*> max_gen_lsn:0 code:0","['2025-04-30 00:01:07.229', 'P0000009826', 'T0000000000000011029', '736', 'ckpt_lsn:2740252536297,', 'min_fst_mdf_lsn:2740252537408,']","2025-04-30 00:01:07.229 [INFO] database P0000009826 T0000000000000011029  hpc_process_ckpt_far_ep_flush flush total 736 pages done, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740252536297, min_fst_mdf_lsn:2740252537408, max_gen_lsn:0 code:0"
113,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:01:11.758', 'P0000009826', 'T0000000000000037620', 'e']",2025-04-30 00:01:11.758 [WARNING] database P0000009826 T0000000000000037620  socket_err_should_retry errno:38
114,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:01:18.860', 'P0000009826', 'T0000000000000011335', 'RLOG_FLUSH_THREAD,', 'space[21340536320],', 's']","2025-04-30 00:01:18.860 [INFO] database P0000009826 T0000000000000011335  checkpoint requested by RLOG_FLUSH_THREAD, rlog free space[21340536320], used space[134291968]"
115,"<DATE> [INFO] database <P_ID> <T_ID>335 checkpoint generated by rlog flush thread, full_status: <STATUS>, ptx_reserved: <RESERVED>",[],"2025-04-30 00:01:18.860 [INFO] database P0000009826 T0000000000000011335  checkpoint generated by rlog flush thread, full_status:161, ptx_reserved:14"
116,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:01:18.860', 'P0000009826', 'T0000000000000011', 'used_space[134291968],', 'f']","2025-04-30 00:01:18.860 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[134291968], free_space[21340536320]..."
117,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:01:19.803', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:01:19.803 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
118,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:01:19.803', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:01:19.803 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
119,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:01:19.908', 'P0000009826', 'T0000000000000011334', '160,', '3']","2025-04-30 00:01:19.908 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 38"
120,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740252731439), ckpt_fil(1), ckpt_off(6797274112), cur_lsn(2740252898997), l_next_seq(35891242991), g_next_seq(35789920656), cur_free(6854504448), total_space(21474828288), used_space(57230336), free_space(21417597952), n_ep(2)","['2025-04-30 00:01:19.908', 'P0000009826', 'T0000000000000011']","2025-04-30 00:01:19.908 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740252731439), ckpt_fil(1), ckpt_off(6797274112), cur_lsn(2740252898997), l_next_seq(35891242991), g_next_seq(35789920656), cur_free(6854504448), total_space(21474828288), used_space(57230336), free_space(21417597952), n_ep(2)"
121,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:01:19.909', 'P0000009826', 'T0000000000000011', '4329', 'used_space[57350144],', 'f']","2025-04-30 00:01:19.909 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 4329 pages flushed, used_space[57350144], free_space[21417478144]."
